"eastwest","eumember","country","expert","var00001","party_id","year","party","vote","family","position","salience1","dissent2","future","ep","fiscal","employ","cohesion","environ","asylum","foreign","lrgen","lrecon","galtan","lr_gen","radrt","con","lib","cd","soc","radleft","green","reg","aus","be","dk","esp","fin","fr","ger","gr","irl","it","nl","por","sw","uk","pro_anti"
1,1,2,,,214,1984,"VS",2.700000047683716,6,1.1100000143051147,3.6700000762939453,1,,,,,,,,,,,,0.07999999821186066,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,,,301,1984,"CDU",38.20000076293945,4,6.860000133514404,3.430000066757202,1.1699999570846558,,,,,,,,,,,,0.6699999570846558,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1,1,3,,,302,1984,"SPD",38.20000076293945,5,6.289999961853027,3,1.6699999570846558,,,,,,,,,,,,0.32999998331069946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1,1,3,,,303,1984,"FDP",6.900000095367432,3,6.710000038146973,3.430000066757202,1.1699999570846558,,,,,,,,,,,,0.5099999904632568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1,1,3,,,304,1984,"GRUN",5.599999904632568,7,3.569999933242798,2.569999933242798,2.569999933242798,,,,,,,,,,,,0.2800000011920929,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1,1,3,,,305,1984,"REP",0,1,1.8300000429153442,2.6700000762939453,1.6699999570846558,,,,,,,,,,,,0.9200000166893005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,3,,,307,1984,"KPD",0.10000000149011612,6,1,1.5,1.2000000476837158,,,,,,,,,,,,0.14000000059604645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,3,,,308,1984,"CSU",10.600000381469727,4,6.5,2.859999895095825,1.5700000524520874,,,,,,,,,,,,0.7900000214576721,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1,1,4,,,401,1984,"PASOK",48.099998474121094,5,4,3.299999952316284,2.200000047683716,,,,,,,,,,,,0.4000000059604645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1,1,4,,,402,1984,"ND",35.900001525878906,2,6.900000095367432,4.099999904632568,1.600000023841858,,,,,,,,,,,,0.8100000023841858,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1,1,4,,,403,1984,"SAP",1.7000000476837158,6,5.800000190734863,3.5999999046325684,1.7999999523162842,,,,,,,,,,,,0.1599999964237213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1,1,4,,,404,1984,"KKE",10.899999618530273,6,1,3.0999999046325684,1,,,,,,,,,,,,0.09000000357627869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,4,,,405,1984,"DIANA/DA",0,9,6.599999904632568,4,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1,0,5,,,501,1984,"PSOE",46.5,5,6.769999980926514,4,1.4600000381469727,,,,,,,,,,,,0.35999998450279236,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,502,1984,"PP",25.799999237060547,2,5.849999904632568,3.0799999237060547,1.850000023841858,,,,,,,,,,,,0.8399999737739563,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
