region_code,region_name,municipality_code,municipality_name,piece,group,x,y
01,Stockholms län,0115,Vallentuna,1,1.1,680024.385297083,6618821.45493185
01,Stockholms län,0115,Vallentuna,1,1.1,682688.116489051,6618479.89620305
01,Stockholms län,0115,Vallentuna,1,1.1,685264.583041299,6620794.86092831
01,Stockholms län,0115,Vallentuna,1,1.1,685666.264630052,6620157.84580928
01,Stockholms län,0115,Vallentuna,1,1.1,687265.875180771,6620828.18939869
01,Stockholms län,0115,Vallentuna,1,1.1,688728.78211046,6618844.26708404
01,Stockholms län,0115,Vallentuna,1,1.1,690720.886855559,6617906.61755598
01,Stockholms län,0115,Vallentuna,1,1.1,690898.409785712,6617120.89173926
01,Stockholms län,0115,Vallentuna,1,1.1,690503.105024841,6614353.49228304
01,Stockholms län,0115,Vallentuna,1,1.1,691090.28879877494,6613754.71204787
01,Stockholms län,0115,Vallentuna,1,1.1,691481.53237537,6611919.73271341
01,Stockholms län,0115,Vallentuna,1,1.1,692919.616152883,6611319.28623462
01,Stockholms län,0115,Vallentuna,1,1.1,693648.328571394,6609935.33534519
01,Stockholms län,0115,Vallentuna,1,1.1,694089.181432973,6608212.93511983
01,Stockholms län,0115,Vallentuna,1,1.1,692810.318571869,6607393.52160039
01,Stockholms län,0115,Vallentuna,1,1.1,691216.336802668,6607246.18503892
01,Stockholms län,0115,Vallentuna,1,1.1,691245.328266391,6606422.65522528
01,Stockholms län,0115,Vallentuna,1,1.1,690981.615635199,6605825.53842601
01,Stockholms län,0115,Vallentuna,1,1.1,690128.633499256,6605752.18686185
01,Stockholms län,0115,Vallentuna,1,1.1,689648.875489795,6605902.34318841
01,Stockholms län,0115,Vallentuna,1,1.1,688230.132149597,6604745.28986917
01,Stockholms län,0115,Vallentuna,1,1.1,688187.852355811,6604109.86589362
01,Stockholms län,0115,Vallentuna,1,1.1,684954.349181964,6602955.79043422
01,Stockholms län,0115,Vallentuna,1,1.1,684650.929825772,6602170.21931585
01,Stockholms län,0115,Vallentuna,1,1.1,683974.815717133,6601199.16812295
01,Stockholms län,0115,Vallentuna,1,1.1,682862.772792104,6601051.69292344
01,Stockholms län,0138,Tyresö,1,10.1,690227.59580697,6563751.46438686
01,Stockholms län,0138,Tyresö,1,10.1,689310.591177573,6564837.21007062
01,Stockholms län,0138,Tyresö,1,10.1,688391.103900161,6565549.98601362
01,Stockholms län,0138,Tyresö,1,10.1,687845.701557744,6566747.21594308
01,Stockholms län,0138,Tyresö,1,10.1,686044.727726114,6568172.21981656
01,Stockholms län,0138,Tyresö,1,10.1,684499.252398088,6569222.35381394
01,Stockholms län,0138,Tyresö,1,10.1,683088.608388924,6568962.32293963
01,Stockholms län,0138,Tyresö,1,10.1,681440.195172745,6568191.50112667
01,Stockholms län,0138,Tyresö,1,10.1,680707.616616864,6570562.26401274
01,Stockholms län,0138,Tyresö,1,10.1,681324.745898228,6570460.74885437
01,Stockholms län,0138,Tyresö,1,10.1,682034.498926228,6571133.24192709
01,Stockholms län,0138,Tyresö,1,10.1,682150.794554114,6571768.54631169
01,Stockholms län,0138,Tyresö,1,10.1,681832.764676041,6572105.64445665
01,Stockholms län,0138,Tyresö,1,10.1,684389.873099088,6573634.37298146
